"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1644","Admin Manager Login Homepage validation","dev","2026-06-22","passed","2026-06-22","User Login Successful Tests","authentication-validation.spec.js","",""
"","1697","Manager Direct Login Homepage validation","dev","2026-06-22","passed","2026-06-22","User Login Successful Tests","authentication-validation.spec.js","",""
"","1579","Admin Login Homepage validation","dev","2026-06-22","passed","2026-06-22","User Login Successful Tests","authentication-validation.spec.js","",""
"","2356","Employee Login Homepage validation","dev","2026-06-22","passed","2026-06-22","User Login Successful Tests","authentication-validation.spec.js","",""
"","2627","Manager Indirect Login Homepage validation","dev","2026-06-22","passed","2026-06-22","User Login Successful Tests","authentication-validation.spec.js","",""
